Company,JobName,Location,JobType,ApplyAddress,Total jobs,Total companies,Jobs per company,Jobs in Curitiba
vonextelecom,Analista Fiscal ,São Paulo - SP,Efetivo,https://vonextelecom.gupy.io//jobs/5031744?jobBoardSource=gupy_public_page,6935.0,54.0,128 +/- 182,168.0
vonextelecom,Assistente de Atendimento ,São Paulo - SP,Efetivo,https://vonextelecom.gupy.io//jobs/5074418?jobBoardSource=gupy_public_page,,,,
vonextelecom,Assistente de Crédito e Cobrança,São Paulo - SP,Efetivo,https://vonextelecom.gupy.io//jobs/5172456?jobBoardSource=gupy_public_page,,,,
vonextelecom,Assistente de Suporte Técnico ,São Paulo - SP,Efetivo,https://vonextelecom.gupy.io//jobs/5101074?jobBoardSource=gupy_public_page,,,,
vonextelecom,Assistente de Suporte Técnico ,São Paulo - SP,Efetivo,https://vonextelecom.gupy.io//jobs/4843286?jobBoardSource=gupy_public_page,,,,
vonextelecom,Auxiliar Administrativo ,São Paulo - SP,Efetivo,https://vonextelecom.gupy.io//jobs/5229593?jobBoardSource=gupy_public_page,,,,
vonextelecom,Banco de Talentos ,São Paulo - SP,Banco de talentos,https://vonextelecom.gupy.io//jobs/1816391?jobBoardSource=gupy_public_page,,,,
vonextelecom,Banco de Talentos - Área Comercial ,São Paulo - SP,Banco de talentos,https://vonextelecom.gupy.io//jobs/5001727?jobBoardSource=gupy_public_page,,,,
vonextelecom,Gerente de Contas Junior,São Paulo - SP,Efetivo,https://vonextelecom.gupy.io//jobs/4850904?jobBoardSource=gupy_public_page,,,,
vonextelecom,Gerente Pós Vendas Júnior,São Paulo - SP,Efetivo,https://vonextelecom.gupy.io//jobs/5024916?jobBoardSource=gupy_public_page,,,,
positivo,ANALISTA COMUNICAÇÃO PL,CURITIBA e Híbrido,Efetivo,https://positivo.gupy.io//jobs/5254791?jobBoardSource=gupy_public_page,,,,
positivo,ANALISTA DE CONTABILIDADE I,CURITIBA,Efetivo,https://positivo.gupy.io//jobs/4920353?jobBoardSource=gupy_public_page,,,,
positivo,ANALISTA DE CONTROLADORIA I ,CURITIBA,Efetivo,https://positivo.gupy.io//jobs/4937820?jobBoardSource=gupy_public_page,,,,
positivo,ANALISTA DE MARKETING PL - EVENTOS ,CURITIBA - PR e Híbrido,Efetivo,https://positivo.gupy.io//jobs/5294230?jobBoardSource=gupy_public_page,,,,
positivo,ANALISTA DE NEGÓCIOS JR,CURITIBA,Efetivo,https://positivo.gupy.io//jobs/5190497?jobBoardSource=gupy_public_page,,,,
positivo,ANALISTA DE PROJETOS JR,Curitiba - PR e Híbrido,Efetivo,https://positivo.gupy.io//jobs/5096529?jobBoardSource=gupy_public_page,,,,
positivo,ANALISTA DE REMUNERAÇÃO - PLANEJAMENTO ORÇAMENTÁRIO/FOLHA SR ,CURITIBA e Híbrido,Efetivo,https://positivo.gupy.io//jobs/5284503?jobBoardSource=gupy_public_page,,,,
positivo,Aprendiz ,FLORIANÓPOLIS,Aprendiz,https://positivo.gupy.io//jobs/5254047?jobBoardSource=gupy_public_page,,,,
positivo,Aprendiz ,FLORIANÓPOLIS - SC,Aprendiz,https://positivo.gupy.io//jobs/5248578?jobBoardSource=gupy_public_page,,,,
positivo,APRENDIZ ADMINISTRATIVO,PONTA GROSSA,Aprendiz,https://positivo.gupy.io//jobs/5251619?jobBoardSource=gupy_public_page,,,,
positivo,APRENDIZ ADMINISTRATIVO,LONDRINA,Aprendiz,https://positivo.gupy.io//jobs/5313518?jobBoardSource=gupy_public_page,,,,
positivo,APRENDIZ ADMINISTRATIVO ,PONTA GROSSA,Aprendiz,https://positivo.gupy.io//jobs/5279215?jobBoardSource=gupy_public_page,,,,
positivo,APRENDIZ PRÉ-IMPRESSÃO ,CURITIBA - PR,Aprendiz,https://positivo.gupy.io//jobs/5340287?jobBoardSource=gupy_public_page,,,,
